frame_idx,mean_entropy,mean_confidence,mean_deviation,rmse_deviation,max_deviation,rmse_x,rmse_y,rmse_z,mean_x,mean_y,mean_z,std_x,std_y,std_z
0,0.4580446779727936,0.7204490303993225,1.1447747945785522,10.765080451965332,142.23007202148438,5.562237739562988,8.477906227111816,3.6157407760620117,-0.4260072112083435,-0.7605909109115601,0.28912824392318726,5.561369895935059,8.467272758483887,3.614215612411499
1,0.40130239725112915,0.758484423160553,0.21720823645591736,0.674621045589447,6.335141658782959,0.4009663760662079,0.48476535081863403,0.24360229074954987,0.038087740540504456,0.020062729716300964,-0.00510904798284173,0.40026670694351196,0.4857010543346405,0.2442280799150467
2,0.3541201651096344,0.7340742945671082,1.0109387636184692,10.580764770507812,141.5779571533203,5.524075508117676,8.315560340881348,3.505513906478882,-0.3459988832473755,-0.6325763463973999,0.2613619565963745,5.5286078453063965,8.314593315124512,3.505507707595825
3,0.42283865809440613,0.7526640892028809,0.2421872913837433,1.0029921531677246,11.631227493286133,0.4792305529117584,0.7340813875198364,0.48729461431503296,0.03796638175845146,0.03966977074742317,-0.02523401938378811,0.47905686497688293,0.7350533604621887,0.48799827694892883
4,0.42152518033981323,0.7393993139266968,0.29521265625953674,1.2121268510818481,12.27079963684082,0.5631872415542603,1.0462217330932617,0.23977437615394592,-0.00790975522249937,0.0671185851097107,0.007902788929641247,0.5647025108337402,1.0469788312911987,0.24031256139278412
5,0.4376709461212158,0.7364422678947449,0.1764896810054779,0.4149438440799713,3.313075304031372,0.2928381562232971,0.22993677854537964,0.18317556381225586,0.005106952507048845,-0.010498045943677425,-0.0006783161079511046,0.2936103343963623,0.2303377240896225,0.18368524312973022
6,0.40321221947669983,0.7382335662841797,0.30457666516304016,0.8547884225845337,6.028539180755615,0.48965880274772644,0.5982800126075745,0.36463478207588196,0.006727464031428099,0.029708867892622948,-0.00034389959182590246,0.49097833037376404,0.5992087125778198,0.3656517267227173
7,0.4227665662765503,0.728888213634491,1.5436222553253174,8.542540550231934,78.22675323486328,5.935002326965332,5.110684394836426,3.410522937774658,0.6575039625167847,0.7896242737770081,-0.4081192910671234,5.914921760559082,5.063399791717529,3.395461082458496
8,0.3814546763896942,0.7344219088554382,0.446646511554718,3.4226176738739014,45.43985366821289,3.152787208557129,1.299504041671753,0.2924618422985077,-0.2356608510017395,-0.06417322158813477,-0.03316725790500641,3.1527373790740967,1.3015390634536743,0.29138559103012085
9,0.40844640135765076,0.7387944459915161,0.7168849110603333,5.8997697830200195,78.12664794921875,5.750268459320068,1.2785632610321045,0.32707780599594116,-0.4553868770599365,0.11365242302417755,0.01374113466590643,5.74819803237915,1.2770541906356812,0.32770058512687683
10,0.4472305178642273,0.7236178517341614,0.3861817419528961,1.6670854091644287,17.202617645263672,1.4257161617279053,0.7796029448509216,0.3724598288536072,0.09394088387489319,0.03342902660369873,-0.022093219682574272,1.4265861511230469,0.7810585498809814,0.37284108996391296
11,0.4181685745716095,0.730707585811615,0.833152711391449,7.349355220794678,97.60747528076172,1.4182480573654175,6.6927490234375,2.6849029064178467,-0.16076692938804626,0.6053360104560852,-0.1844685971736908,1.4130373001098633,6.683910369873047,2.686030149459839
12,0.42303940653800964,0.7289894223213196,0.5129124522209167,2.2575244903564453,23.388072967529297,1.6668845415115356,1.4794450998306274,0.3593819737434387,-0.17886784672737122,0.09106770902872086,-0.01014175545424223,1.6618825197219849,1.4807584285736084,0.3602409064769745
13,0.45175933837890625,0.7225643396377563,0.994576096534729,10.568558692932129,141.5063018798828,5.51936674118042,8.299226760864258,3.514807939529419,-0.3742443919181824,-0.6096372008323669,0.27970319986343384,5.522024631500244,8.29989242553711,3.5134341716766357
14,0.44126439094543457,0.7181557416915894,0.893040120601654,4.588507652282715,46.916831970214844,3.1151342391967773,3.302851676940918,0.6644608974456787,0.01086526457220316,0.17964984476566315,-0.06702245771884918,3.123804807662964,3.307161569595337,0.6629160642623901
15,0.4288251996040344,0.7450443506240845,0.5172472596168518,2.6035380363464355,28.315881729125977,1.5891554355621338,1.9452282190322876,0.6848961114883423,-0.14098668098449707,0.14142267405986786,-0.052297838032245636,1.5873043537139893,1.9454920291900635,0.6848013401031494
16,0.36135226488113403,0.7391813397407532,0.6664146780967712,3.016235828399658,26.3416748046875,2.3199610710144043,1.8603767156600952,0.504439115524292,-0.23971867561340332,0.020676804706454277,-0.0336323119699955,2.3139796257019043,1.8654506206512451,0.5047206878662109
17,0.4452415108680725,0.7437533736228943,0.4549153447151184,1.6212579011917114,13.188837051391602,1.0081630945205688,1.221881628036499,0.34509408473968506,0.019939297810196877,0.015469524078071117,-0.01159149594604969,1.010777473449707,1.2251918315887451,0.34586140513420105
18,0.4523720145225525,0.7232084274291992,1.3300381898880005,11.487686157226562,149.9894256591797,6.1453471183776855,9.658550262451172,0.9560621976852417,-0.37660014629364014,-0.896367609500885,0.11098801344633102,6.150906562805176,9.643692016601562,0.952246904373169
19,0.41044506430625916,0.7435381412506104,0.37513601779937744,2.4473536014556885,31.881423950195312,1.6156213283538818,1.7931798696517944,0.40474000573158264,-0.09132891893386841,0.13773466646671295,-0.04851650074124336,1.617537260055542,1.792869210243225,0.4029424786567688
20,0.3989516496658325,0.7515134215354919,0.33723801374435425,2.179353952407837,28.19565200805664,1.3663357496261597,1.6501349210739136,0.3997049033641815,-0.10429228097200394,0.17977838218212128,-0.04473504424095154,1.3661497831344604,1.6448880434036255,0.3983016014099121
21,0.3654560446739197,0.7443202137947083,0.21613270044326782,0.6069345474243164,5.622416019439697,0.4009389877319336,0.3907831311225891,0.23432032763957977,0.02586449310183525,-0.013061202131211758,0.0052823093719780445,0.40121990442276,0.39165422320365906,0.23491422832012177
22,0.40433746576309204,0.7357469797134399,0.3962409198284149,1.9781380891799927,24.16823959350586,1.1796629428863525,1.52218759059906,0.45207327604293823,-0.10886172205209732,0.1349957287311554,-0.05875525251030922,1.177905797958374,1.5204190015792847,0.44948917627334595
23,0.4183368980884552,0.7231488823890686,0.31591665744781494,1.0478438138961792,7.498217582702637,0.6406527757644653,0.7076900005340576,0.4321058392524719,-0.057172708213329315,-0.013788411393761635,0.046589501202106476,0.6398764848709106,0.7095292806625366,0.4307851791381836
24,0.36358094215393066,0.7362385988235474,0.22912520170211792,0.6272132992744446,4.468069076538086,0.4730179011821747,0.3282662034034729,0.24878081679344177,-0.08077221363782883,0.004937938880175352,0.030416129156947136,0.4673706293106079,0.3291446268558502,0.24760320782661438
25,0.4203285872936249,0.7681191563606262,0.2719899117946625,1.0637398958206177,10.780770301818848,0.859860897064209,0.4839000403881073,0.3975204527378082,0.09129569679498672,-0.008964231237769127,-0.0030701172072440386,0.8573853373527527,0.4851665198802948,0.3986174166202545
26,0.361383855342865,0.7454299926757812,0.35228419303894043,1.552414059638977,17.4443302154541,0.5724190473556519,1.379480004310608,0.42351004481315613,-0.0289281215518713,0.03745359927415848,-0.004562671296298504,0.5732822418212891,1.3828178644180298,0.42466673254966736
27,0.4238949716091156,0.7306795120239258,0.2789822518825531,1.1578700542449951,12.025872230529785,0.7735092639923096,0.8176662921905518,0.2716035544872284,0.0938526913523674,0.025898685678839684,-0.0273056011646986,0.7699360847473145,0.8195356726646423,0.2709812521934509
